country_code,Gold Medal,Silver Medal,Bronze Medal,Total
US,40,44,42,126
CN,39,27,24,90
JP,20,12,13,45
AU,18,19,16,53
FR,16,26,22,64
NL,15,7,12,34
GB,14,21,29,64
KR,13,9,10,32
IT,12,13,13,38
DE,11,13,8,32
NZ,10,7,3,20
CA,9,7,11,27
UZ,8,2,3,13
HU,6,7,6,19
ES,5,4,9,18
SE,4,4,3,11
KE,4,2,5,11
NO,4,1,3,8
IE,4,0,3,7
BR,3,7,10,20
IR,3,6,3,12
UA,3,5,4,12
RO,3,4,2,9
GE,3,3,1,7
RS,3,1,1,5
BG,3,0,3,6
CZ,3,0,2,5
DK,2,2,5,9
AZ,2,2,3,7
HR,2,2,3,7
CU,2,1,6,9
BE,2,1,5,8
BH,2,1,1,4
SI,2,1,0,3
TW,2,0,5,7
AT,2,0,3,5
HK,2,0,2,4
PH,2,0,2,4
DZ,2,0,1,3
ID,2,0,0,2
PL,1,4,5,10
IL,1,4,1,6
KZ,1,3,3,7
JM,1,3,2,6
ZA,1,3,2,6
TH,1,3,2,6
AI,1,3,1,5
ET,1,3,0,4
CH,1,2,5,8
EC,1,2,2,5
PT,1,2,1,4
GR,1,1,6,8
AR,1,1,1,3
EG,1,1,1,3
TN,1,1,1,3
BT,1,1,0,2
CL,1,1,0,2
LC,1,1,0,2
UG,1,1,0,2
DO,1,0,2,3
GU,1,0,1,2
MA,1,0,1,2
DM,1,0,0,1
PK,1,0,0,1
TR,0,3,5,8
MX,0,3,2,5
AM,0,3,1,4
CO,0,3,1,4
KG,0,2,4,6
KP,0,2,4,6
LT,0,2,2,4
IN,0,1,5,6
MD,0,1,3,4
KS,0,1,1,2
CY,0,1,0,1
FJ,0,1,0,1
JO,0,1,0,1
MN,0,1,0,1
PA,0,1,0,1
TJ,0,0,3,3
AL,0,0,2,2
GR,0,0,2,2
MS,0,0,2,2
PU,0,0,2,2
CV,0,0,1,1
CP,0,0,1,1
EO,0,0,1,1
PE,0,0,1,1
QA,0,0,1,1
SG,0,0,1,1
SK,0,0,1,1
ZA,0,0,1,1
